variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
beta_wp[1],0.76885393924071,0.77181991,0.5827065801622813,0.5937401207849999,-0.19625770099999992,1.7193164999999997,1.0002858325660455,3939.663539955241,3110.7261815413217
beta_wp[2],-0.07149245228442377,-0.0742297565,0.6195625573979672,0.6199991929089,-1.11044275,0.9544262754999993,0.9998735533717916,5184.24075919555,2838.760061494099
beta_wp[3],-1.311144152131875,-1.33118375,0.8219692633841791,0.8175657594299999,-2.6689974700000003,0.057304232399998566,0.9997689642896426,6424.3664966125625,3160.834550491747
beta_wp[4],-0.06431376936054249,-0.0862429225,0.7282288560871212,0.7372204444814999,-1.2247171949999998,1.1798017099999991,1.001154101441948,5138.41635261836,3057.1745559113256
beta_wp[5],-0.39215211045965,-0.391614715,0.8031637838804115,0.816387396363,-1.7035177499999998,0.9595264149999995,1.0004095416291372,6831.8534673329195,3175.870255236814
alpha,-0.01535213702801775,-0.0117607305,0.4150357791854426,0.414655888269,-0.6989004179999999,0.6752696844999991,0.999758362244004,7151.376591792377,2817.289938525695
sigma_subj,0.3324706903142175,0.28233666999999996,0.2524674143050286,0.24385115391000006,0.026695977950000005,0.8141334844999999,1.001048301001813,3718.245932637677,2314.9007836820433
sigma_y,7.630998991075,7.62075385,0.2968253550271762,0.29748102131999976,7.1597700600000005,8.12767698,1.0016176865666542,6863.562998529831,2921.874438462423
r2_within,0.0251323994931675,0.023134105000000002,0.013287541714266398,0.012590633571599997,0.006934426275,0.049686678699999993,0.9993652738916203,3812.585651703817,3141.8639025184766
